# Lecture du graphe construit par run.py — runs/20260925-113438
# plage 2026-09-24 17:37 -> 19:32, fenêtres de 60 s
# fenêtres gardées : 115

queue: food_delivery    run: runs/20260925-113438
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29837886  18:06:00             ts-delivery-service-79c46f4f45-tvmfl               705.666           846.280                 -             0.002         435662848
29837886  18:06:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837887  18:07:00             ts-delivery-service-79c46f4f45-bmgvs               705.644           706.640                 -             0.003         437608448
29837887  18:07:00             ts-delivery-service-79c46f4f45-r5pwb               706.157           846.317                 -             0.003         431316992
29837887  18:07:00             ts-delivery-service-79c46f4f45-tvmfl               705.578           846.092                 -             0.003         435535872
29837887  18:07:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837888  18:08:00             ts-delivery-service-79c46f4f45-bmgvs               705.662           846.364                 -             0.002         437608448
29837888  18:08:00             ts-delivery-service-79c46f4f45-r5pwb               706.412           707.524                 -             0.003         431316992
29837888  18:08:00             ts-delivery-service-79c46f4f45-tvmfl               705.539           708.060                 -             0.001         435601408
29837888  18:08:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837889  18:09:00             ts-delivery-service-79c46f4f45-bmgvs               705.750           707.163                 -             0.003         437608448
29837889  18:09:00             ts-delivery-service-79c46f4f45-r5pwb               705.864           707.270                 -             0.002         431284224
29837889  18:09:00             ts-delivery-service-79c46f4f45-tvmfl               705.753           845.972                 -             0.003         435576832
29837889  18:09:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409776128
29837890  18:10:00             ts-delivery-service-79c46f4f45-bmgvs               705.616           845.872                 -             0.003         437620736
29837890  18:10:00             ts-delivery-service-79c46f4f45-r5pwb               706.238           707.264                 -             0.003         431284224
29837890  18:10:00             ts-delivery-service-79c46f4f45-tvmfl               705.740           845.854                 -             0.003         435679232
29837890  18:10:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409767936
