# Lecture du graphe construit par run.py — runs/20260913-075006
# plage 2026-09-13 03:37 -> 05:47, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260913-075006
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29821182  03:42:00             ts-delivery-service-79c46f4f45-bmgvs               705.434           706.383                 -             0.003         436547584
29821182  03:42:00             ts-delivery-service-79c46f4f45-r5pwb               705.713           706.855                 -             0.003         419504128
29821182  03:42:00             ts-delivery-service-79c46f4f45-tvmfl               705.572           706.786                 -             0.003         424304640
29821182  03:42:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416665600
29821183  03:43:00             ts-delivery-service-79c46f4f45-bmgvs               705.377           706.023                 -             0.003         436318208
29821183  03:43:00             ts-delivery-service-79c46f4f45-r5pwb               705.415           706.363                 -             0.003         419504128
29821183  03:43:00             ts-delivery-service-79c46f4f45-tvmfl               705.585           706.624                 -             0.002         424341504
29821183  03:43:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416731136
29821184  03:44:00             ts-delivery-service-79c46f4f45-bmgvs               705.598           706.656                 -             0.003         436473856
29821184  03:44:00             ts-delivery-service-79c46f4f45-r5pwb               705.342           706.767                 -             0.003         419504128
29821184  03:44:00             ts-delivery-service-79c46f4f45-tvmfl               705.589           706.566                 -             0.003         424308736
29821184  03:44:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416665600
29821185  03:45:00             ts-delivery-service-79c46f4f45-bmgvs               705.990           706.721                 -             0.003         436609024
29821185  03:45:00             ts-delivery-service-79c46f4f45-r5pwb               705.584           706.526                 -             0.003         419409920
29821185  03:45:00             ts-delivery-service-79c46f4f45-tvmfl               705.453           706.409                 -             0.003         424341504
29821185  03:45:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416665600
29821186  03:46:00             ts-delivery-service-79c46f4f45-bmgvs               706.163           707.002                 -             0.004         436707328
29821186  03:46:00             ts-delivery-service-79c46f4f45-r5pwb               705.883           706.884                 -             0.003         419438592
29821186  03:46:00             ts-delivery-service-79c46f4f45-tvmfl               705.890           706.851                 -             0.002         424341504
29821186  03:46:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416669696
29821187  03:47:00             ts-delivery-service-79c46f4f45-bmgvs               706.016           707.045                 -             0.002         436707328
29821187  03:47:00             ts-delivery-service-79c46f4f45-r5pwb               705.441           706.306                 -             0.003         419409920
29821187  03:47:00             ts-delivery-service-79c46f4f45-tvmfl               705.358           706.262                 -             0.003         424349696
29821187  03:47:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416665600
29821188  03:48:00             ts-delivery-service-79c46f4f45-bmgvs               705.510           706.272                 -             0.004         436707328
29821188  03:48:00             ts-delivery-service-79c46f4f45-r5pwb               705.466           706.591                 -             0.002         419409920
29821188  03:48:00             ts-delivery-service-79c46f4f45-tvmfl               705.479           706.414                 -             0.003         424349696
29821188  03:48:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416632832
29821189  03:49:00             ts-delivery-service-79c46f4f45-bmgvs               705.444           706.609                 -             0.003         436224000
29821189  03:49:00             ts-delivery-service-79c46f4f45-r5pwb               705.800           706.950                 -             0.003         419414016
29821189  03:49:00             ts-delivery-service-79c46f4f45-tvmfl               705.497           706.414                 -             0.003         424607744
29821189  03:49:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416669696
29821190  03:50:00             ts-delivery-service-79c46f4f45-bmgvs               705.394           706.133                 -             0.002         436641792
29821190  03:50:00             ts-delivery-service-79c46f4f45-r5pwb               705.840           706.913                 -             0.003         419414016
29821190  03:50:00             ts-delivery-service-79c46f4f45-tvmfl               705.333           706.156                 -             0.003         424353792
29821190  03:50:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416665600
29821191  03:51:00             ts-delivery-service-79c46f4f45-bmgvs               705.312           706.324                 -             0.003         436641792
29821191  03:51:00             ts-delivery-service-79c46f4f45-r5pwb               705.980           706.933                 -             0.003         419414016
29821191  03:51:00             ts-delivery-service-79c46f4f45-tvmfl               705.226           706.416                 -             0.002         424386560
29821191  03:51:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416669696
29821192  03:52:00             ts-delivery-service-79c46f4f45-bmgvs               705.304           705.916                 -             0.002         436576256
29821192  03:52:00             ts-delivery-service-79c46f4f45-r5pwb               706.003           706.884                 -             0.004         419422208
29821192  03:52:00             ts-delivery-service-79c46f4f45-tvmfl               705.202           705.943                 -             0.002         424353792
29821192  03:52:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416665600
29821193  03:53:00             ts-delivery-service-79c46f4f45-bmgvs               705.330           706.211                 -             0.004         436592640
29821193  03:53:00             ts-delivery-service-79c46f4f45-r5pwb               705.778           706.978                 -             0.003         419422208
29821193  03:53:00             ts-delivery-service-79c46f4f45-tvmfl               705.338           706.381                 -             0.002         424415232
29821193  03:53:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416665600
29821194  03:54:00             ts-delivery-service-79c46f4f45-bmgvs               705.308           706.398                 -             0.002         436592640
29821194  03:54:00             ts-delivery-service-79c46f4f45-r5pwb               705.483           706.966                 -             0.002         419422208
29821194  03:54:00             ts-delivery-service-79c46f4f45-tvmfl               705.337           707.224                 -             0.003         424361984
29821194  03:54:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416665600
29821195  03:55:00             ts-delivery-service-79c46f4f45-bmgvs               705.255           706.424                 -             0.003         436613120
29821195  03:55:00             ts-delivery-service-79c46f4f45-r5pwb               705.347           706.523                 -             0.004         419438592
29821195  03:55:00             ts-delivery-service-79c46f4f45-tvmfl               705.233           706.289                 -             0.002         424329216
29821195  03:55:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         416698368
29821196  03:56:00             ts-delivery-service-79c46f4f45-bmgvs               705.606           706.423                 -             0.003         436625408
