# Lecture du graphe construit par run.py — runs/20260926-034025
# plage 2026-09-25 11:13 -> 13:23, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260926-034025
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29839028  13:08:00                    731.000        -33.500          3.800          4.250         -0.450          3.000
29839029  13:09:00                    674.000        -43.000          3.250          4.250         -1.000          3.000
29839030  13:10:00                    632.000        -49.500          3.617          4.233         -0.617          3.000
29839031  13:11:00                    589.000        -42.500          3.500          4.250         -0.750          3.000
29839032  13:12:00                    549.000        -41.500          3.467          4.233         -0.767          3.000
29839033  13:13:00                    512.000        -38.500          3.717          4.233         -0.517          3.000
29839034  13:14:00                    472.000        -38.500          3.567          4.250         -0.683          3.000
29839035  13:15:00                    426.000        -43.000          3.517          4.250         -0.733          3.000
29839036  13:16:00                    353.000        -59.500          2.967          4.250         -1.283          3.000
29839037  13:17:00                    308.000        -59.000          3.417          4.217         -0.800          3.000
29839038  13:18:00                    258.000        -47.500          3.417          4.250         -0.833          3.000
29839039  13:19:00                    205.000        -51.500          3.400          4.217         -0.817          3.000
29839040  13:20:00                    145.000        -56.500          3.350          4.233         -0.883          3.000
29839041  13:21:00                    104.000        -50.500          3.533          4.250         -0.717          3.000
29839042  13:22:00                     56.000        -44.500          3.367          4.250         -0.883          3.000

instances containing 'delivery'    run: runs/20260926-034025
window  start_utc            instance                                  process_time_p50  process_time_p95       error_ratio          cpu_rate       memory_used
29838913  11:13:00             ts-delivery-service-79c46f4f45-bmgvs               706.046           708.497                 -             0.003         438243328
29838913  11:13:00             ts-delivery-service-79c46f4f45-r5pwb               706.176           846.444                 -             0.005         431489024
29838913  11:13:00             ts-delivery-service-79c46f4f45-tvmfl               705.946           706.880                 -             0.003         440442880
29838913  11:13:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409931776
29838914  11:14:00             ts-delivery-service-79c46f4f45-bmgvs               705.965           846.151                 -             0.002         438239232
29838914  11:14:00             ts-delivery-service-79c46f4f45-r5pwb               706.069           708.351                 -             0.003         431489024
29838914  11:14:00             ts-delivery-service-79c46f4f45-tvmfl               705.986           846.947                 -             0.003         440614912
29838914  11:14:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410030080
29838915  11:15:00             ts-delivery-service-79c46f4f45-bmgvs               705.897           845.974                 -             0.003         438243328
29838915  11:15:00             ts-delivery-service-79c46f4f45-r5pwb               706.036           846.256                 -             0.003         431521792
29838915  11:15:00             ts-delivery-service-79c46f4f45-tvmfl               706.106           846.551                 -             0.007         440213504
29838915  11:15:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410062848
29838916  11:16:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438280192
29838916  11:16:00             ts-delivery-service-79c46f4f45-r5pwb               706.547           707.315                 -             0.004         432164864
29838916  11:16:00             ts-delivery-service-79c46f4f45-tvmfl               706.399           708.427                 -             0.003         440422400
29838916  11:16:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410062848
29838917  11:17:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838917  11:17:00             ts-delivery-service-79c46f4f45-r5pwb               706.446           707.357                 -             0.004         432201728
29838917  11:17:00             ts-delivery-service-79c46f4f45-tvmfl               706.369           707.846                 -             0.005         440221696
29838917  11:17:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409960448
29838918  11:18:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838918  11:18:00             ts-delivery-service-79c46f4f45-r5pwb               706.235           707.185                 -             0.003         432168960
29838918  11:18:00             ts-delivery-service-79c46f4f45-tvmfl               706.287           707.241                 -             0.003         440487936
29838918  11:18:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410025984
29838919  11:19:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838919  11:19:00             ts-delivery-service-79c46f4f45-r5pwb               706.104           706.878                 -             0.004         432205824
29838919  11:19:00             ts-delivery-service-79c46f4f45-tvmfl               706.403           707.451                 -             0.002         440573952
29838919  11:19:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410034176
29838920  11:20:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838920  11:20:00             ts-delivery-service-79c46f4f45-r5pwb               706.006           707.065                 -             0.002         432173056
29838920  11:20:00             ts-delivery-service-79c46f4f45-tvmfl               706.195           707.157                 -             0.004         440451072
29838920  11:20:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410030080
29838921  11:21:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838921  11:21:00             ts-delivery-service-79c46f4f45-r5pwb               706.334           707.480                 -             0.004         432173056
29838921  11:21:00             ts-delivery-service-79c46f4f45-tvmfl               706.176           707.230                 -             0.003         440487936
29838921  11:21:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409960448
29838922  11:22:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838922  11:22:00             ts-delivery-service-79c46f4f45-r5pwb               706.285           707.607                 -             0.004         431910912
29838922  11:22:00             ts-delivery-service-79c46f4f45-tvmfl               706.204           707.435                 -             0.004         440700928
29838922  11:22:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410058752
29838923  11:23:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838923  11:23:00             ts-delivery-service-79c46f4f45-r5pwb               706.365           707.053                 -             0.003         432033792
29838923  11:23:00             ts-delivery-service-79c46f4f45-tvmfl               706.231           708.118                 -             0.004         440471552
29838923  11:23:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410066944
29838924  11:24:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838924  11:24:00             ts-delivery-service-79c46f4f45-r5pwb               706.202           707.527                 -             0.004         432181248
29838924  11:24:00             ts-delivery-service-79c46f4f45-tvmfl               706.336           707.127                 -             0.003         440471552
29838924  11:24:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409931776
29838925  11:25:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838925  11:25:00             ts-delivery-service-79c46f4f45-r5pwb               706.171           707.238                 -             0.003         432181248
29838925  11:25:00             ts-delivery-service-79c46f4f45-tvmfl               706.283           707.335                 -             0.004         440598528
29838925  11:25:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410030080
29838926  11:26:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838926  11:26:00             ts-delivery-service-79c46f4f45-r5pwb               706.219           707.210                 -             0.003         432336896
29838926  11:26:00             ts-delivery-service-79c46f4f45-tvmfl               706.306           707.343                 -             0.003         440688640
29838926  11:26:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409931776
29838927  11:27:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838927  11:27:00             ts-delivery-service-79c46f4f45-r5pwb               706.110           707.050                 -             0.003         432340992
29838927  11:27:00             ts-delivery-service-79c46f4f45-tvmfl               706.293           707.566                 -             0.005         440885248
29838927  11:27:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409964544
29838928  11:28:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838928  11:28:00             ts-delivery-service-79c46f4f45-r5pwb               706.166           707.142                 -             0.004         432369664
29838928  11:28:00             ts-delivery-service-79c46f4f45-tvmfl               706.021           707.133                 -             0.003         440700928
29838928  11:28:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410030080
29838929  11:29:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838929  11:29:00             ts-delivery-service-79c46f4f45-r5pwb               705.989           706.970                 -             0.005         432369664
29838929  11:29:00             ts-delivery-service-79c46f4f45-tvmfl               706.108           707.281                 -             0.004         440741888
29838929  11:29:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410062848
29838930  11:30:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838930  11:30:00             ts-delivery-service-79c46f4f45-r5pwb               706.102           707.466                 -             0.003         432369664
29838930  11:30:00             ts-delivery-service-79c46f4f45-tvmfl               705.996           707.056                 -             0.003         441004032
29838930  11:30:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410062848
29838931  11:31:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838931  11:31:00             ts-delivery-service-79c46f4f45-r5pwb               706.419           707.260                 -             0.004         432373760
29838931  11:31:00             ts-delivery-service-79c46f4f45-tvmfl               705.989           706.794                 -             0.002         440750080
29838931  11:31:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410062848
29838932  11:32:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838932  11:32:00             ts-delivery-service-79c46f4f45-r5pwb               706.123           707.159                 -             0.003         432406528
29838932  11:32:00             ts-delivery-service-79c46f4f45-tvmfl               706.129           707.176                 -             0.003         440774656
29838932  11:32:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410062848
29838933  11:33:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838933  11:33:00             ts-delivery-service-79c46f4f45-r5pwb               706.160           707.193                 -             0.002         432377856
29838933  11:33:00             ts-delivery-service-79c46f4f45-tvmfl               706.198           706.812                 -             0.003         441024512
29838933  11:33:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410062848
29838934  11:34:00             ts-delivery-service-79c46f4f45-bmgvs                     -                 -                 -             0.000         438284288
29838934  11:34:00             ts-delivery-service-79c46f4f45-r5pwb               705.945           707.136                 -             0.003         432410624
29838934  11:34:00             ts-delivery-service-79c46f4f45-tvmfl               706.066           706.799                 -             0.003         441278464
29838934  11:34:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409935872
29838935  11:35:00             ts-delivery-service-79c46f4f45-bmgvs               705.656              1910                 -             0.000         438284288
29838935  11:35:00             ts-delivery-service-79c46f4f45-r5pwb               706.301           707.193                 -             0.003         432410624
29838935  11:35:00             ts-delivery-service-79c46f4f45-tvmfl               705.950           707.368                 -             0.003         440762368
29838935  11:35:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410030080
29838936  11:36:00             ts-delivery-service-79c46f4f45-bmgvs               705.975           707.107                 -             0.003         439242752
29838936  11:36:00             ts-delivery-service-79c46f4f45-r5pwb               705.712           706.705                 -             0.004         433516544
29838936  11:36:00             ts-delivery-service-79c46f4f45-tvmfl               705.655           708.161                 -             0.004         440762368
29838936  11:36:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410062848
29838937  11:37:00             ts-delivery-service-79c46f4f45-bmgvs               705.721           706.974                 -             0.004         438259712
29838937  11:37:00             ts-delivery-service-79c46f4f45-r5pwb               705.663           706.854                 -             0.002         433262592
29838937  11:37:00             ts-delivery-service-79c46f4f45-tvmfl               705.795           707.208                 -             0.003         440778752
29838937  11:37:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410062848
29838938  11:38:00             ts-delivery-service-79c46f4f45-bmgvs               705.837           706.953                 -             0.003         438259712
29838938  11:38:00             ts-delivery-service-79c46f4f45-r5pwb               705.795           707.049                 -             0.006         433401856
29838938  11:38:00             ts-delivery-service-79c46f4f45-tvmfl               705.796           707.374                 -             0.003         440778752
29838938  11:38:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410062848
29838939  11:39:00             ts-delivery-service-79c46f4f45-bmgvs               705.983           706.948                 -             0.004         438259712
29838939  11:39:00             ts-delivery-service-79c46f4f45-r5pwb               705.670           706.401                 -             0.003         433905664
29838939  11:39:00             ts-delivery-service-79c46f4f45-tvmfl               705.694           706.764                 -             0.005         440778752
29838939  11:39:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409935872
29838940  11:40:00             ts-delivery-service-79c46f4f45-bmgvs               706.067           706.926                 -             0.003         438878208
29838940  11:40:00             ts-delivery-service-79c46f4f45-r5pwb               705.699           706.488                 -             0.007         433905664
29838940  11:40:00             ts-delivery-service-79c46f4f45-tvmfl               705.738           707.011                 -             0.003         440709120
29838940  11:40:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409960448
29838941  11:41:00             ts-delivery-service-79c46f4f45-bmgvs               705.700           706.974                 -             0.002         438878208
29838941  11:41:00             ts-delivery-service-79c46f4f45-r5pwb               705.501           706.489                 -             0.003         433917952
29838941  11:41:00             ts-delivery-service-79c46f4f45-tvmfl               705.888           706.821                 -             0.002         440709120
29838941  11:41:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410030080
29838942  11:42:00             ts-delivery-service-79c46f4f45-bmgvs               705.709           707.030                 -             0.003         438878208
29838942  11:42:00             ts-delivery-service-79c46f4f45-r5pwb               705.706           706.445                 -             0.002         434413568
29838942  11:42:00             ts-delivery-service-79c46f4f45-tvmfl               705.795           707.308                 -             0.006         440709120
29838942  11:42:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         409964544
29838943  11:43:00             ts-delivery-service-79c46f4f45-bmgvs               705.756           707.010                 -             0.004         438890496
29838943  11:43:00             ts-delivery-service-79c46f4f45-r5pwb               705.773           706.616                 -             0.003         433917952
29838943  11:43:00             ts-delivery-service-79c46f4f45-tvmfl               705.994           707.799                 -             0.004         440713216
29838943  11:43:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410058752
29838944  11:44:00             ts-delivery-service-79c46f4f45-bmgvs               705.800           706.689                 -             0.003         438890496
29838944  11:44:00             ts-delivery-service-79c46f4f45-r5pwb               705.849           706.678                 -             0.004         433938432
