# Lecture du graphe construit par run.py — runs/20260926-034850
# plage 2026-09-25 13:29 -> 15:39, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260926-034850
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29839051  13:31:00             ts-delivery-service-79c46f4f45-r5pwb               706.059           846.652                 -             0.003         435720192
29839051  13:31:00             ts-delivery-service-79c46f4f45-tvmfl               706.530           847.222                 -             0.002         444145664
29839051  13:31:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410181632
29839052  13:32:00             ts-delivery-service-79c46f4f45-bmgvs               705.862           846.283                 -             0.003         439590912
29839052  13:32:00             ts-delivery-service-79c46f4f45-r5pwb               706.053           846.598                 -             0.003         435720192
29839052  13:32:00             ts-delivery-service-79c46f4f45-tvmfl               708.701           850.452                 -             0.002         444104704
29839052  13:32:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839053  13:33:00             ts-delivery-service-79c46f4f45-bmgvs               705.715           846.870                 -             0.003         439595008
29839053  13:33:00             ts-delivery-service-79c46f4f45-r5pwb               705.624           846.327                 -             0.003         435720192
29839053  13:33:00             ts-delivery-service-79c46f4f45-tvmfl               710.278           850.569                 -             0.002         444108800
29839053  13:33:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839054  13:34:00             ts-delivery-service-79c46f4f45-bmgvs               706.070           846.366                 -             0.003         439595008
29839054  13:34:00             ts-delivery-service-79c46f4f45-r5pwb               705.895           846.129                 -             0.002         435716096
29839054  13:34:00             ts-delivery-service-79c46f4f45-tvmfl               710.290           851.424                 -             0.003         444108800
29839054  13:34:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839055  13:35:00             ts-delivery-service-79c46f4f45-bmgvs               705.956           707.415                 -             0.003         439595008
29839055  13:35:00             ts-delivery-service-79c46f4f45-r5pwb               705.897           846.239                 -             0.003         435720192
29839055  13:35:00             ts-delivery-service-79c46f4f45-tvmfl               709.161           848.934                 -             0.003         444112896
29839055  13:35:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839056  13:36:00             ts-delivery-service-79c46f4f45-bmgvs               706.033           846.831                 -             0.003         439590912
29839056  13:36:00             ts-delivery-service-79c46f4f45-r5pwb               706.143           846.771                 -             0.004         435720192
29839056  13:36:00             ts-delivery-service-79c46f4f45-tvmfl               709.553           850.099                 -             0.002         444084224
29839056  13:36:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839057  13:37:00             ts-delivery-service-79c46f4f45-bmgvs               705.660           845.585                 -             0.002         440115200
29839057  13:37:00             ts-delivery-service-79c46f4f45-r5pwb               705.961           846.788                 -             0.003         435621888
29839057  13:37:00             ts-delivery-service-79c46f4f45-tvmfl               710.217           850.682                 -             0.003         443625472
29839057  13:37:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839058  13:38:00             ts-delivery-service-79c46f4f45-bmgvs               705.811           846.468                 -             0.003         439603200
29839058  13:38:00             ts-delivery-service-79c46f4f45-r5pwb               706.077           846.546                 -             0.003         435617792
29839058  13:38:00             ts-delivery-service-79c46f4f45-tvmfl               709.192           849.369                 -             0.002         443920384
29839058  13:38:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839059  13:39:00             ts-delivery-service-79c46f4f45-bmgvs               705.692           846.041                 -             0.003         439599104
29839059  13:39:00             ts-delivery-service-79c46f4f45-r5pwb               705.619           846.307                 -             0.003         435650560
29839059  13:39:00             ts-delivery-service-79c46f4f45-tvmfl               709.711           848.277                 -             0.002         443891712
29839059  13:39:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839060  13:40:00             ts-delivery-service-79c46f4f45-bmgvs               705.691           845.872                 -             0.002         439603200
29839060  13:40:00             ts-delivery-service-79c46f4f45-r5pwb               705.799           846.003                 -             0.003         434638848
29839060  13:40:00             ts-delivery-service-79c46f4f45-tvmfl               709.350           847.074                 -             0.002         444309504
29839060  13:40:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410181632
29839061  13:41:00             ts-delivery-service-79c46f4f45-bmgvs               705.933           845.918                 -             0.003         439603200
29839061  13:41:00             ts-delivery-service-79c46f4f45-r5pwb               705.827           845.933                 -             0.002         434577408
29839061  13:41:00             ts-delivery-service-79c46f4f45-tvmfl               710.045           850.063                 -             0.002         444313600
29839061  13:41:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839062  13:42:00             ts-delivery-service-79c46f4f45-bmgvs               705.877           846.141                 -             0.003         439607296
29839062  13:42:00             ts-delivery-service-79c46f4f45-r5pwb               705.714           845.655                 -             0.002         434610176
29839062  13:42:00             ts-delivery-service-79c46f4f45-tvmfl               708.522           848.218                 -             0.002         444342272
29839062  13:42:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839063  13:43:00             ts-delivery-service-79c46f4f45-bmgvs               705.860           846.435                 -             0.002         439607296
29839063  13:43:00             ts-delivery-service-79c46f4f45-r5pwb               705.715           845.801                 -             0.003         434638848
29839063  13:43:00             ts-delivery-service-79c46f4f45-tvmfl               709.499           848.910                 -             0.002         444346368
29839063  13:43:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839064  13:44:00             ts-delivery-service-79c46f4f45-bmgvs               705.913           846.018                 -             0.003         439607296
29839064  13:44:00             ts-delivery-service-79c46f4f45-r5pwb               705.807           846.986                 -             0.002         434638848
29839064  13:44:00             ts-delivery-service-79c46f4f45-tvmfl               709.428           850.278                 -             0.002         444338176
29839064  13:44:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839065  13:45:00             ts-delivery-service-79c46f4f45-bmgvs               705.792           846.285                 -             0.002         439611392
29839065  13:45:00             ts-delivery-service-79c46f4f45-r5pwb               706.011           846.454                 -             0.003         434634752
29839065  13:45:00             ts-delivery-service-79c46f4f45-tvmfl               709.599           851.192                 -             0.002         444346368
29839065  13:45:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839066  13:46:00             ts-delivery-service-79c46f4f45-bmgvs               705.892           846.258                 -             0.003         439619584
29839066  13:46:00             ts-delivery-service-79c46f4f45-r5pwb               705.848           847.296                 -             0.003         434655232
29839066  13:46:00             ts-delivery-service-79c46f4f45-tvmfl               708.861           851.433                 -             0.002         444346368
29839066  13:46:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839067  13:47:00             ts-delivery-service-79c46f4f45-bmgvs               705.920           846.080                 -             0.002         439615488
29839067  13:47:00             ts-delivery-service-79c46f4f45-r5pwb               706.067           846.447                 -             0.003         434679808
29839067  13:47:00             ts-delivery-service-79c46f4f45-tvmfl               708.762           846.569                 -             0.002         444346368
29839067  13:47:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839068  13:48:00             ts-delivery-service-79c46f4f45-bmgvs               705.981           845.879                 -             0.002         439615488
29839068  13:48:00             ts-delivery-service-79c46f4f45-r5pwb               706.238           846.186                 -             0.003         434688000
29839068  13:48:00             ts-delivery-service-79c46f4f45-tvmfl               709.188           850.339                 -             0.002         444411904
29839068  13:48:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410181632
29839069  13:49:00             ts-delivery-service-79c46f4f45-bmgvs               705.792           846.595                 -             0.003         439619584
29839069  13:49:00             ts-delivery-service-79c46f4f45-r5pwb               706.019           847.072                 -             0.002         434896896
29839069  13:49:00             ts-delivery-service-79c46f4f45-tvmfl               709.471           714.305                 -             0.002         445026304
29839069  13:49:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839070  13:50:00             ts-delivery-service-79c46f4f45-bmgvs               705.716           846.229                 -             0.003         438579200
29839070  13:50:00             ts-delivery-service-79c46f4f45-r5pwb               706.118           846.524                 -             0.004         434700288
29839070  13:50:00             ts-delivery-service-79c46f4f45-tvmfl               709.585           848.575                 -             0.002         445026304
29839070  13:50:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839071  13:51:00             ts-delivery-service-79c46f4f45-bmgvs               705.640           846.296                 -             0.002         438575104
29839071  13:51:00             ts-delivery-service-79c46f4f45-r5pwb               705.869           846.116                 -             0.004         434696192
29839071  13:51:00             ts-delivery-service-79c46f4f45-tvmfl               706.440           846.216                 -             0.002         445026304
29839071  13:51:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839072  13:52:00             ts-delivery-service-79c46f4f45-bmgvs               705.740           846.610                 -             0.002         438579200
29839072  13:52:00             ts-delivery-service-79c46f4f45-r5pwb               705.781           846.689                 -             0.002         434700288
29839072  13:52:00             ts-delivery-service-79c46f4f45-tvmfl               705.531           845.205                 -             0.002         445030400
29839072  13:52:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839073  13:53:00             ts-delivery-service-79c46f4f45-bmgvs               706.186           846.430                 -             0.003         438579200
29839073  13:53:00             ts-delivery-service-79c46f4f45-r5pwb               706.149           846.848                 -             0.004         434700288
29839073  13:53:00             ts-delivery-service-79c46f4f45-tvmfl               705.643           845.395                 -             0.003         445059072
29839073  13:53:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
29839074  13:54:00             ts-delivery-service-79c46f4f45-bmgvs               705.987           846.094                 -             0.003         438611968
29839074  13:54:00             ts-delivery-service-79c46f4f45-r5pwb               705.987           846.827                 -             0.003         434704384
29839074  13:54:00             ts-delivery-service-79c46f4f45-tvmfl               705.762           846.377                 -             0.005         445030400
29839074  13:54:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         410177536
